# For array of size 970000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 3013341857
# Iteration | Segments | Swaps
   1     524288     223571
   2     262144     264208
   3     131072     330616
   4      65536     426485
   5      32768     570051
   6      16384     747366
   7       8192    1156542
   8       4096    1868723
   9       2048    2957866
  10       1024    4554779
  11        512    6775944
  12        256    9813374
  13        128   13794334
  14         64   19758431
  15         32   26091107
  16         16   35433869
  17          8   35979319
  18          4   50952602
  19          2   60784106
  20          1   89148413
