# For array of size 160000
# Using Shell Sort
# Total number of iterations = 18
# Total number of swaps = 2626474368
# Iteration | Segments | Swaps
   1     131072      14303
   2      65536      32980
   3      32768      41499
   4      16384      72079
   5       8192     106851
   6       4096     157106
   7       2048     222508
   8       1024     307957
   9        512     441398
  10        256     644277
  11        128     926338
  12         64    1334066
  13         32    1551223
  14         16    2075223
  15          8    3107401
  16          4    4646674
  17          2    5749626
  18          1    6686729
