# For array of size 50000
# Using Shell Sort
# Total number of iterations = 16
# Total number of swaps = 817983073
# Iteration | Segments | Swaps
   1      32768       8540
   2      16384      12812
   3       8192      20228
   4       4096      27686
   5       2048      39346
   6       1024      53867
   7        512      79506
   8        256     109763
   9        128     146636
  10         64     228985
  11         32     298233
  12         16     467120
  13          8     521132
  14          4     764951
  15          2     685165
  16          1    1290240
