# For array of size 850000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 1053263871
# Iteration | Segments | Swaps
   1     524288     162342
   2     262144     176682
   3     131072     280243
   4      65536     348982
   5      32768     487807
   6      16384     648304
   7       8192     984507
   8       4096    1573921
   9       2048    2493573
  10       1024    3793758
  11        512    5517036
  12        256    7569971
  13        128   11165162
  14         64   15143224
  15         32   23101083
  16         16   27969128
  17          8   33363147
  18          4   67956006
  19          2   88603266
  20          1   79462986
