# For array of size 810000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 398020362
# Iteration | Segments | Swaps
   1     524288     142787
   2     262144     147933
   3     131072     280952
   4      65536     352766
   5      32768     434489
   6      16384     595292
   7       8192     913142
   8       4096    1464680
   9       2048    2345034
  10       1024    3493435
  11        512    5084965
  12        256    7322415
  13        128    9426518
  14         64   14952339
  15         32   23000117
  16         16   26064256
  17          8   46644712
  18          4   48176018
  19          2   87509408
  20          1   73117713
