# For array of size 330000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 1116641820
# Iteration | Segments | Swaps
   1     262144      33846
   2     131072      65686
   3      65536      85917
   4      32768     138257
   5      16384     190475
   6       8192     283291
   7       4096     438409
   8       2048     653566
   9       1024     906393
  10        512    1350186
  11        256    1955301
  12        128    2903937
  13         64    3435930
  14         32    5109369
  15         16    6931969
  16          8   11707216
  17          4    9677513
  18          2   19813802
  19          1   50221547
