# For array of size 240000
# Using Shell Sort
# Total number of iterations = 18
# Total number of swaps = 3937378199
# Iteration | Segments | Swaps
   1     131072      54396
   2      65536      63959
   3      32768      79862
   4      16384     119939
   5       8192     183830
   6       4096     281123
   7       2048     415342
   8       1024     569735
   9        512     782569
  10        256    1226985
  11        128    1623208
  12         64    2127179
  13         32    3508531
  14         16    5749319
  15          8    6697672
  16          4    7883270
  17          2   11462859
  18          1   22792816
