# For array of size 210000
# Using Shell Sort
# Total number of iterations = 18
# Total number of swaps = 3435897387
# Iteration | Segments | Swaps
   1     131072      39701
   2      65536      42553
   3      32768      70058
   4      16384      99301
   5       8192     154357
   6       4096     234042
   7       2048     339289
   8       1024     452888
   9        512     682041
  10        256     975700
  11        128    1394965
  12         64    1988812
  13         32    2473592
  14         16    3615635
  15          8    4777092
  16          4    7877452
  17          2    7693374
  18          1   13932414
