# For array of size 540000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 259027849
# Iteration | Segments | Swaps
   1     524288       7916
   2     262144     130837
   3     131072     161997
   4      65536     204162
   5      32768     257788
   6      16384     347376
   7       8192     544228
   8       4096     854265
   9       2048    1321663
  10       1024    1991033
  11        512    2754281
  12        256    3951902
  13        128    5458990
  14         64    7431501
  15         32   10398473
  16         16   14947993
  17          8   23867485
  18          4   33289846
  19          2   50404771
  20          1   32501018
