# For array of size 460000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 3243403730
# Iteration | Segments | Swaps
   1     262144      98789
   2     131072     113457
   3      65536     140914
   4      32768     216139
   5      16384     294635
   6       8192     441383
   7       4096     692368
   8       2048    1046933
   9       1024    1540322
  10        512    2213227
  11        256    3048510
  12        128    4361387
  13         64    6118238
  14         32    8300378
  15         16   11559522
  16          8   14159468
  17          4   26442755
  18          2   42006356
  19          1   31979543
