# For array of size 730000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 3381552709
# Iteration | Segments | Swaps
   1     524288     102773
   2     262144     131080
   3     131072     232531
   4      65536     286274
   5      32768     390528
   6      16384     523567
   7       8192     795337
   8       4096    1296489
   9       2048    2031908
  10       1024    3097260
  11        512    4372960
  12        256    6405019
  13        128    8945321
  14         64   11910679
  15         32   17952327
  16         16   24673342
  17          8   31915788
  18          4   46790377
  19          2   41917666
  20          1   78800958
