# For array of size 430000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 2747887252
# Iteration | Segments | Swaps
   1     262144      83888
   2     131072      91913
   3      65536     139943
   4      32768     179402
   5      16384     266228
   6       8192     401690
   7       4096     632075
   8       2048     959884
   9       1024    1384443
  10        512    1877755
  11        256    2781216
  12        128    4345366
  13         64    5260905
  14         32    7200919
  15         16   11411307
  16          8   15755845
  17          4   27512570
  18          2   30203740
  19          1   64726685
