# For array of size 310000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 781977558
# Iteration | Segments | Swaps
   1     262144      23931
   2     131072      65549
   3      65536      82463
   4      32768     119003
   5      16384     167828
   6       8192     261866
   7       4096     409104
   8       2048     604912
   9       1024     860727
  10        512    1224603
  11        256    1694217
  12        128    2487729
  13         64    3543551
  14         32    5025850
  15         16    7395520
  16          8   11970664
  17          4   13159056
  18          2   24889166
  19          1   38296925
