# For array of size 840000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 874220834
# Iteration | Segments | Swaps
   1     524288     157483
   2     262144     169278
   3     131072     280294
   4      65536     350643
   5      32768     469386
   6      16384     625127
   7       8192     948259
   8       4096    1539881
   9       2048    2466758
  10       1024    3752653
  11        512    5433147
  12        256    7629329
  13        128   10948703
  14         64   14488600
  15         32   19860316
  16         16   25777137
  17          8   42893425
  18          4   57368580
  19          2  109314321
  20          1  119257448
