# For array of size 650000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 2055683919
# Iteration | Segments | Swaps
   1     524288      62802
   2     262144     130846
   3     131072     167030
   4      65536     271537
   5      32768     337204
   6      16384     454527
   7       8192     685449
   8       4096    1090776
   9       2048    1726686
  10       1024    2533954
  11        512    3644499
  12        256    5199415
  13        128    7144172
  14         64    9890550
  15         32   14483971
  16         16   23387438
  17          8   20534417
  18          4   24431533
  19          2   58230596
  20          1   89174197
