# For array of size 440000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 2911690862
# Iteration | Segments | Swaps
   1     262144      89187
   2     131072      99019
   3      65536     139695
   4      32768     192122
   5      16384     267831
   6       8192     413563
   7       4096     654808
   8       2048     993936
   9       1024    1427082
  10        512    2079772
  11        256    2910558
  12        128    4456906
  13         64    5600062
  14         32    6928571
  15         16    9075305
  16          8   16058749
  17          4   15773433
  18          2   19544477
  19          1   30221959
