# For array of size 400000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 2248380837
# Iteration | Segments | Swaps
   1     262144      68942
   2     131072      70340
   3      65536     140737
   4      32768     177283
   5      16384     240435
   6       8192     363711
   7       4096     581676
   8       2048     881602
   9       1024    1241816
  10        512    1813157
  11        256    2546228
  12        128    3750719
  13         64    4662013
  14         32    7877696
  15         16    9780960
  16          8   14201435
  17          4   16075069
  18          2   22019079
  19          1   28762448
