# For array of size 120000
# Using Shell Sort
# Total number of iterations = 17
# Total number of swaps = 1967562270
# Iteration | Segments | Swaps
   1      65536      26975
   2      32768      31916
   3      16384      46823
   4       8192      70426
   5       4096     103933
   6       2048     141299
   7       1024     198428
   8        512     283677
   9        256     430952
  10        128     596915
  11         64     855243
  12         32    1220569
  13         16    1593449
  14          8    2126705
  15          4    2799853
  16          2    4605827
  17          1    8124038
