# For array of size 300000
# Using Shell Sort
# Total number of iterations = 19
# Total number of swaps = 623627778
# Iteration | Segments | Swaps
   1     262144      18806
   2     131072      65234
   3      65536      82141
   4      32768     108293
   5      16384     167417
   6       8192     247693
   7       4096     381922
   8       2048     574239
   9       1024     810932
  10        512    1118659
  11        256    1533141
  12        128    2201626
  13         64    3220805
  14         32    5412280
  15         16    6327092
  16          8    8246792
  17          4   10490756
  18          2   16256888
  19          1   43715909
