# For array of size 570000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 740867184
# Iteration | Segments | Swaps
   1     524288      22750
   2     262144     131223
   3     131072     162589
   4      65536     204788
   5      32768     274604
   6      16384     374619
   7       8192     588195
   8       4096     920771
   9       2048    1433521
  10       1024    2147961
  11        512    2996422
  12        256    4158952
  13        128    5886728
  14         64    8186627
  15         32   13289043
  16         16   15638532
  17          8   21397575
  18          4   47351034
  19          2   35437080
  20          1   61270226
