# For array of size 200000
# Using Shell Sort
# Total number of iterations = 18
# Total number of swaps = 3278514629
# Iteration | Segments | Swaps
   1     131072      34623
   2      65536      35209
   3      32768      70081
   4      16384      98596
   5       8192     144313
   6       4096     219436
   7       2048     313642
   8       1024     449805
   9        512     612980
  10        256     859543
  11        128    1189371
  12         64    1884130
  13         32    2192327
  14         16    3428992
  15          8    4361790
  16          4    7224843
  17          2   10961821
  18          1   21796596
