# For array of size 1000000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 580092212
# Iteration | Segments | Swaps
   1     524288     238178
   2     262144     285620
   3     131072     360030
   4      65536     449579
   5      32768     585547
   6      16384     774861
   7       8192    1230398
   8       4096    1923789
   9       2048    3048273
  10       1024    4795671
  11        512    6898348
  12        256    9866115
  13        128   13938017
  14         64   19180830
  15         32   30230925
  16         16   40964812
  17          8   47041534
  18          4   65864568
  19          2  145926938
  20          1  186488179
