# For array of size 220000
# Using Shell Sort
# Total number of iterations = 18
# Total number of swaps = 3607908884
# Iteration | Segments | Swaps
   1     131072      44538
   2      65536      49697
   3      32768      70168
   4      16384     106273
   5       8192     163461
   6       4096     247376
   7       2048     361703
   8       1024     511282
   9        512     684096
  10        256    1013331
  11        128    1419706
  12         64    1886930
  13         32    2920154
  14         16    4548312
  15          8    7848780
  16          4    8259808
  17          2    8596140
  18          1    8860187
