# For array of size 40000
# Using Shell Sort
# Total number of iterations = 16
# Total number of swaps = 655697375
# Iteration | Segments | Swaps
   1      32768       3602
   2      16384       9994
   3       8192      13103
   4       4096      20046
   5       2048      27103
   6       1024      38423
   7        512      54768
   8        256      76050
   9        128     117871
  10         64     154384
  11         32     191412
  12         16     287138
  13          8     501198
  14          4     477151
  15          2     734487
  16          1    1964644
