# For array of size 910000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 2006400335
# Iteration | Segments | Swaps
   1     524288     192738
   2     262144     220825
   3     131072     278828
   4      65536     422625
   5      32768     525427
   6      16384     700755
   7       8192    1056885
   8       4096    1712689
   9       2048    2738779
  10       1024    4198944
  11        512    6183765
  12        256    8464232
  13        128   12521586
  14         64   17316337
  15         32   21055919
  16         16   33633019
  17          8   39559127
  18          4   51371319
  19          2   96874622
  20          1  198032759
