# For array of size 900000
# Using Shell Sort
# Total number of iterations = 20
# Total number of swaps = 1872036657
# Iteration | Segments | Swaps
   1     524288     188015
   2     262144     213717
   3     131072     279379
   4      65536     410215
   5      32768     509258
   6      16384     676563
   7       8192    1054089
   8       4096    1683471
   9       2048    2687484
  10       1024    4130463
  11        512    6080755
  12        256    8288439
  13        128   11818653
  14         64   16919180
  15         32   25789743
  16         16   34877904
  17          8   42758037
  18          4   69839250
  19          2   70395827
  20          1  133106826
