10000 0.0020000000
20000 0.0060000000
30000 0.0140000000
40000 0.0160000000
50000 0.0180000000
60000 0.0250000000
70000 0.0360000000
80000 0.0450000000
90000 0.0460000000
100000 0.0660000000
110000 0.0790000000
120000 0.0900000000
130000 0.0730000000
140000 0.1020000000
150000 0.1150000000
160000 0.1000000000
170000 0.1180000000
180000 0.1820000000
190000 0.1790000000
200000 0.2220000000
210000 0.1930000000
220000 0.1670000000
230000 0.2220000000
240000 0.2250000000
250000 0.2420000000
260000 0.2170000000
270000 0.2370000000
280000 0.2470000000
290000 0.2560000000
300000 0.3160000000
310000 0.3500000000
320000 0.3840000000
330000 0.3870000000
340000 0.3120000000
350000 0.3400000000
360000 0.3910000000
370000 0.3650000000
380000 0.3990000000
390000 0.4040000000
400000 0.4090000000
410000 0.4400000000
420000 0.5780000000
430000 0.5710000000
440000 0.4330000000
450000 0.5600000000
460000 0.6070000000
470000 0.5500000000
480000 0.6280000000
490000 0.6780000000
500000 0.6060000000
510000 0.6320000000
520000 0.5830000000
530000 0.6730000000
540000 0.6640000000
550000 0.8320000000
560000 0.9820000000
570000 0.8930000000
580000 0.7890000000
590000 0.7600000000
600000 0.6860000000
610000 0.7510000000
620000 0.8280000000
630000 0.9410000000
640000 0.7900000000
650000 1.0210000000
660000 1.1290000000
670000 1.0490000000
680000 0.8880000000
690000 0.9710000000
700000 1.2930000000
710000 1.1060000000
720000 1.2540000000
730000 1.2200000000
740000 1.3340000000
750000 1.3860000000
760000 1.1420000000
770000 1.1910000000
780000 1.1260000000
790000 1.4090000000
800000 1.6340000000
810000 1.4070000000
820000 1.6580000000
830000 1.5790000000
840000 1.5670000000
850000 1.2840000000
860000 1.2250000000
870000 1.6540000000
880000 1.3680000000
890000 1.4750000000
900000 1.4090000000
910000 1.5780000000
920000 1.1900000000
930000 1.9800000000
940000 1.4120000000
950000 1.3410000000
960000 1.4700000000
970000 1.1710000000
980000 1.4520000000
990000 1.6080000000
1000000 1.6730000000
